"X1","X2","bigram"
"prelude","potentially","prelude potentially"
"potentially","regime","potentially regime"
"regime","changing","regime changing"
"changing","presidential","changing presidential"
"presidential","election","presidential election"
"election","autumn","election autumn"
"autumn","echo","autumn echo"
"echo","recent","echo recent"
"recent","elections","recent elections"
"elections","soviet","elections soviet"
"soviet","republics","soviet republics"
"republics","notably","republics notably"
"notably","ukraine","notably ukraine"
"ukraine","georgia","ukraine georgia"
"georgia","ink","georgia ink"
"ink","controversial","ink controversial"
"controversial","perceived","controversial perceived"
"perceived","progovernment","perceived progovernment"
"progovernment","widely","progovernment widely"
"widely","circulated","widely circulated"
"circulated","articles","circulated articles"
"articles","compared","articles compared"
"compared","ink","compared ink"
"ink","rural","ink rural"
"rural","practice","rural practice"
"practice","marking","practice marking"
"marking","sheep","marking sheep"
"sheep","common","sheep common"
"common","metaphor","common metaphor"
"metaphor","primarily","metaphor primarily"
"primarily","agricultural","primarily agricultural"
"agricultural","society","agricultural society"
"society","author","society author"
"author","article","author article"
"article","petition","article petition"
"petition","drive","petition drive"
"drive","ink","drive ink"
"ink","opposition","ink opposition"
"opposition","ink","opposition ink"
"ink","sheer","ink sheer"
"sheer","ignorance","sheer ignorance"
"ignorance","local","ignorance local"
"local","newspapers","local newspapers"
"newspapers","carried","newspapers carried"
"carried","stories","carried stories"
"stories","ink","stories ink"
"ink","harmful","ink harmful"
"harmful","radioactive","harmful radioactive"
"radioactive","ultraviolet","radioactive ultraviolet"
"ultraviolet","readers","ultraviolet readers"
"readers","health","readers health"
"health","aggressively","health aggressively"
"aggressively","middle","aggressively middle"
"middle","road","middle road"
"road","coalition","road coalition"
"coalition","nongovernmental","coalition nongovernmental"
"nongovernmental","organizations","nongovernmental organizations"
"organizations","lauded","organizations lauded"
"lauded","move","lauded move"
"move","step","move step"
"step","forward","step forward"
"forward","type","forward type"
"type","ink","type ink"
"ink","elections","ink elections"
"elections","world","elections world"
"world","countries","world countries"
"countries","varied","countries varied"
"varied","serbia","varied serbia"
"serbia","south","serbia south"
"south","africa","south africa"
"africa","indonesia","africa indonesia"
"indonesia","turkey","indonesia turkey"
"turkey","common","turkey common"
"common","type","common type"
"type","ink","type ink"
"ink","elections","ink elections"
"elections","indelible","elections indelible"
"indelible","visible","indelible visible"
"visible","ink","visible ink"
"ink","elections","ink elections"
"elections","afghanistan","elections afghanistan"
"afghanistan","improper","afghanistan improper"
"improper","type","improper type"
"type","ink","type ink"
"ink","additional","ink additional"
"additional","invisible","additional invisible"
"invisible","ink","invisible ink"
"ink","elections","ink elections"
"elections","numerous","elections numerous"
"numerous","rumors","numerous rumors"
"rumors","spread","rumors spread"
"spread","serbia","spread serbia"
"serbia","christian","serbia christian"
"christian","islamic","christian islamic"
"islamic","leaders","islamic leaders"
"leaders","assured","leaders assured"
"assured","populations","assured populations"
"populations","contrary","populations contrary"
"contrary","religion","contrary religion"
"religion","rumours","religion rumours"
"rumours","remove","rumours remove"
"remove","ink","remove ink"
"ink","soft","ink soft"
"soft","drinks","soft drinks"
"drinks","solvents","drinks solvents"
"solvents","cleaning","solvents cleaning"
"cleaning","products","cleaning products"
"products","forward","products forward"
"forward","reality","forward reality"
"reality","ink","reality ink"
"ink","effective","ink effective"
"effective","cuticle","effective cuticle"
"cuticle","thumb","cuticle thumb"
"thumb","difficult","thumb difficult"
"difficult","wash","difficult wash"
"wash","ink","wash ink"
"ink","stays","ink stays"
"stays","finger","stays finger"
"finger","hours","finger hours"
"hours","ink","hours ink"
"ink","readers","ink readers"
"readers","panacea","readers panacea"
"panacea","election","panacea election"
"election","ills","election ills"
"ills","passage","ills passage"
"passage","inking","passage inking"
"inking","law","inking law"
"law","step","law step"
"step","forward","step forward"
"forward","free","forward free"
"free","fair","free fair"
"fair","elections","fair elections"
"elections","countrys","elections countrys"
"countrys","widely","countrys widely"
"widely","watched","widely watched"
"watched","parliamentary","watched parliamentary"
"parliamentary","elections","parliamentary elections"
"elections","scheduled","elections scheduled"
"scheduled","february","scheduled february"
"february","david","february david"
"david","mikosz","david mikosz"
"mikosz","ifes","mikosz ifes"
"ifes","international","ifes international"
"international","nonprofit","international nonprofit"
"nonprofit","organisation","nonprofit organisation"
"organisation","supports","organisation supports"
"supports","building","supports building"
"building","democratic","building democratic"
"democratic","societies","democratic societies"
"societies","china","societies china"
"china","net","china net"
"net","cafe","net cafe"
"cafe","culture","cafe culture"
"culture","crackdown","culture crackdown"
"crackdown","chinese","crackdown chinese"
"chinese","authorities","chinese authorities"
"authorities","closed","authorities closed"
"closed","net","closed net"
"net","cafes","net cafes"
"cafes","closing","cafes closing"
"closing","countrys","closing countrys"
"countrys","government","countrys government"
"government","official","government official"
"official","news","official news"
"news","agency","news agency"
"agency","net","agency net"
"net","cafes","net cafes"
"cafes","closed","cafes closed"
"closed","operating","closed operating"
"operating","illegally","operating illegally"
"illegally","chinese","illegally chinese"
"chinese","net","chinese net"
"net","cafes","net cafes"
"cafes","operate","cafes operate"
"operate","set","operate set"
"set","strict","set strict"
"strict","guidelines","strict guidelines"
"guidelines","recently","guidelines recently"
"recently","closed","recently closed"
"closed","broke","closed broke"
"broke","rules","broke rules"
"rules","limit","rules limit"
"limit","close","limit close"
"close","schools","close schools"
"schools","move","schools move"
"move","series","move series"
"series","steps","series steps"
"steps","chinese","steps chinese"
"chinese","government","chinese government"
"government","crack","government crack"
"crack","considers","crack considers"
"considers","immoral","considers immoral"
"immoral","net","immoral net"
"net","official","net official"
"official","xinhua","official xinhua"
"xinhua","news","xinhua news"
"news","agency","news agency"
"agency","crackdown","agency crackdown"
"crackdown","carried","crackdown carried"
"carried","create","carried create"
"create","safer","create safer"
"safer","environment","safer environment"
"environment","people","environment people"
"people","china","people china"
"china","rules","china rules"
"rules","introduced","rules introduced"
"introduced","demand","introduced demand"
"demand","net","demand net"
"net","cafes","net cafes"
"cafes","metres","cafes metres"
"metres","middle","metres middle"
"middle","elementary","middle elementary"
"elementary","schools","elementary schools"
"schools","hours","schools hours"
"hours","children","hours children"
"children","net","children net"
"net","cafes","net cafes"
"cafes","tightly","cafes tightly"
"tightly","regulated","tightly regulated"
"regulated","china","regulated china"
"china","worried","china worried"
"worried","net","worried net"
"net","cafes","net cafes"
"cafes","unhealthy","cafes unhealthy"
"unhealthy","influence","unhealthy influence"
"influence","people","influence people"
"people","cafes","people cafes"
"cafes","shut","cafes shut"
"shut","october","shut october"
"october","december","october december"
"december","china","december china"
"china","dictate","china dictate"
"dictate","types","dictate types"
"types","computer","types computer"
"computer","games","computer games"
"games","people","games people"
"people","play","people play"
"play","limit","play limit"
"limit","amount","limit amount"
"amount","violence","amount violence"
"violence","people","violence people"
"people","exposed","people exposed"
"exposed","net","exposed net"
"net","cafes","net cafes"
"cafes","hugely","cafes hugely"
"hugely","popular","hugely popular"
"popular","china","popular china"
"china","cost","china cost"
"cost","computer","cost computer"
"computer","hardware","computer hardware"
"hardware","means","hardware means"
"means","people","means people"
"people","pcs","people pcs"
"pcs","homes","pcs homes"
"homes","time","homes time"
"time","chinese","time chinese"
"chinese","government","chinese government"
"government","moved","government moved"
"moved","net","moved net"
"net","cafes","net cafes"
"cafes","operating","cafes operating"
"operating","strict","operating strict"
"strict","guidelines","strict guidelines"
"guidelines","net","guidelines net"
"net","cafes","net cafes"
"cafes","country","cafes country"
"country","required","country required"
"required","software","required software"
"software","controls","software controls"
"controls","websites","controls websites"
"websites","users","websites users"
"users","logs","users logs"
"logs","sites","logs sites"
"sites","people","sites people"
"people","visit","people visit"
"visit","laws","visit laws"
"laws","net","laws net"
"net","cafe","net cafe"
"cafe","hours","cafe hours"
"hours","introduced","hours introduced"
"introduced","fire","introduced fire"
"fire","cafe","fire cafe"
"cafe","killed","cafe killed"
"killed","people","killed people"
"people","crackdown","people crackdown"
"crackdown","blaze","crackdown blaze"
"blaze","authorities","blaze authorities"
"authorities","moved","authorities moved"
"moved","clean","moved clean"
"clean","net","clean net"
"net","cafes","net cafes"
"cafes","demanded","cafes demanded"
"demanded","permits","demanded permits"
"permits","operate","permits operate"
"operate","august","operate august"
"august","chinese","august chinese"
"chinese","authorities","chinese authorities"
"authorities","shut","authorities shut"
"shut","websites","shut websites"
"websites","arrested","websites arrested"
"arrested","people","arrested people"
"people","crackdown","people crackdown"
"crackdown","net","crackdown net"
"net","porn","net porn"
"porn","time","porn time"
"time","introduced","time introduced"
"introduced","controls","introduced controls"
"controls","block","controls block"
"block","overseas","block overseas"
"overseas","sex","overseas sex"
"sex","sites","sex sites"
"sites","reporters","sites reporters"
"reporters","borders","reporters borders"
"borders","report","borders report"
"report","chinese","report chinese"
"chinese","government","chinese government"
"government","technologies","government technologies"
"technologies","email","technologies email"
"email","interception","email interception"
"interception","net","interception net"
"net","censorship","net censorship"
"censorship","highly","censorship highly"
"highly","developed","highly developed"
"developed","world","developed world"
"world","microsoft","world microsoft"
"microsoft","seeking","microsoft seeking"
"seeking","spyware","seeking spyware"
"spyware","trojan","spyware trojan"
"trojan","microsoft","trojan microsoft"
"microsoft","investigating","microsoft investigating"
"investigating","trojan","investigating trojan"
"trojan","program","trojan program"
"program","attempts","program attempts"
"attempts","switch","attempts switch"
"switch","firms","switch firms"
"firms","antispyware","firms antispyware"
"antispyware","software","antispyware software"
"software","spyware","software spyware"
"spyware","tool","spyware tool"
"tool","released","tool released"
"released","microsoft","released microsoft"
"microsoft","weeks","microsoft weeks"
"weeks","downloaded","weeks downloaded"
"downloaded","million","downloaded million"
"million","people","million people"
"people","stephen","people stephen"
"stephen","toulouse","stephen toulouse"
"toulouse","security","toulouse security"
"security","manager","security manager"
"manager","microsoft","manager microsoft"
"microsoft","malicious","microsoft malicious"
"malicious","program","malicious program"
"program","called","program called"
"called","bankasha","called bankasha"
"bankasha","trojan","bankasha trojan"
"trojan","email","trojan email"
"email","attachment","email attachment"
"attachment","microsoft","attachment microsoft"
"microsoft","program","microsoft program"
"program","widespread","program widespread"
"widespread","recommended","widespread recommended"
"recommended","users","recommended users"
"users","antivirus","users antivirus"
"antivirus","program","antivirus program"
"program","program","program program"
"program","attempts","program attempts"
"attempts","disable","attempts disable"
"disable","delete","disable delete"
"delete","microsofts","delete microsofts"
"microsofts","antispyware","microsofts antispyware"
"antispyware","tool","antispyware tool"
"tool","suppress","tool suppress"
"suppress","warning","suppress warning"
"warning","messages","warning messages"
"messages","users","messages users"
"users","steal","users steal"
"steal","online","steal online"
"online","banking","online banking"
"banking","passwords","banking passwords"
"passwords","personal","passwords personal"
"personal","information","personal information"
"information","tracking","information tracking"
"tracking","users","tracking users"
"users","keystrokes","users keystrokes"
"keystrokes","microsoft","keystrokes microsoft"
"microsoft","statement","microsoft statement"
"statement","investigating","statement investigating"
"investigating","called","investigating called"
"called","criminal","called criminal"
"criminal","attack","criminal attack"
"attack","software","attack software"
"software","earlier","software earlier"
"earlier","microsoft","earlier microsoft"
"microsoft","buy","microsoft buy"
"buy","antivirus","buy antivirus"
"antivirus","software","antivirus software"
"software","maker","software maker"
"maker","sybari","maker sybari"
"sybari","software","sybari software"
"software","improve","software improve"
"improve","security","improve security"
"security","windows","security windows"
"windows","email","windows email"
"email","software","email software"
"software","microsoft","software microsoft"
"microsoft","plans","microsoft plans"
"plans","offer","plans offer"
"offer","paidfor","offer paidfor"
"paidfor","antivirus","paidfor antivirus"
"antivirus","software","antivirus software"
"software","set","software set"
"set","date","set date"
"date","release","date release"
"release","antispyware","release antispyware"
"antispyware","program","antispyware program"
"program","targeted","program targeted"
"targeted","beta","targeted beta"
"beta","form","beta form"
"form","aims","form aims"
"aims","users","aims users"
"users","remove","users remove"
"remove","spyware","remove spyware"
"spyware","programs","spyware programs"
"programs","monitor","programs monitor"
"monitor","internet","monitor internet"
"internet","advert","internet advert"
"advert","popups","advert popups"
"popups","slow","popups slow"
"slow","pcs","slow pcs"
"pcs","performance","pcs performance"
"performance","digital","performance digital"
"digital","guru","digital guru"
"guru","floats","guru floats"
"floats","pc","floats pc"
"pc","nicholas","pc nicholas"
"nicholas","negroponte","nicholas negroponte"
"negroponte","chairman","negroponte chairman"
"chairman","founder","chairman founder"
"founder","mits","founder mits"
"mits","media","mits media"
"media","labs","media labs"
"labs","developing","labs developing"
"developing","laptop","developing laptop"
"laptop","pc","laptop pc"
"pc","sale","pc sale"
"sale","told","sale told"
"told","bbc","told bbc"
"bbc","world","bbc world"
"world","service","world service"
"service","programme","service programme"
"programme","digital","programme digital"
"digital","hoped","digital hoped"
"hoped","education","hoped education"
"education","tool","education tool"
"tool","developing","tool developing"
"developing","countries","developing countries"
"countries","laptop","countries laptop"
"laptop","child","laptop child"
"child","development","child development"
"development","child","development child"
"child","family","child family"
"family","village","family village"
"village","neighbourhood","village neighbourhood"
"neighbourhood","child","neighbourhood child"
"child","laptop","child laptop"
"laptop","text","laptop text"
"text","book","text book"
"book","device","book device"
"device","stripped","device stripped"
"stripped","laptop","stripped laptop"
"laptop","run","laptop run"
"run","linuxbased","run linuxbased"
"linuxbased","operating","linuxbased operating"
"operating","system","operating system"
"system","display","system display"
"display","rear","display rear"
"rear","project","rear project"
"project","image","project image"
"image","ordinary","image ordinary"
"ordinary","flat","ordinary flat"
"flat","panel","flat panel"
"panel","trick","panel trick"
"trick","rid","trick rid"
"rid","fat","rid fat"
"fat","skinny","fat skinny"
"skinny","gain","skinny gain"
"gain","speed","gain speed"
"speed","ability","speed ability"
"ability","processors","ability processors"
"processors","slower","processors slower"
"slower","memory","slower memory"
"memory","device","memory device"
"device","exported","device exported"
"exported","kit","exported kit"
"kit","assembled","kit assembled"
"assembled","locally","assembled locally"
"locally","costs","locally costs"
"costs","negroponte","costs negroponte"
"negroponte","profit","negroponte profit"
"profit","venture","profit venture"
"venture","recognised","venture recognised"
"recognised","manufacturers","recognised manufacturers"
"manufacturers","components","manufacturers components"
"components","money","components money"
"money","negroponte","money negroponte"
"negroponte","published","negroponte published"
"published","bestselling","published bestselling"
"bestselling","digital","bestselling digital"
"digital","widely","digital widely"
"widely","predicting","widely predicting"
"predicting","digital","predicting digital"
"digital","age","digital age"
"age","concept","age concept"
"concept","based","concept based"
"based","experiments","based experiments"
"experiments","maine","experiments maine"
"maine","children","maine children"
"children","laptop","children laptop"
"laptop","computers","laptop computers"
"computers","home","computers home"
"home","idea","home idea"
"idea","popular","idea popular"
"popular","children","popular children"
"children","initially","children initially"
"initially","received","initially received"
"received","resistance","received resistance"
"resistance","teachers","resistance teachers"
"teachers","laptops","teachers laptops"
"laptops","broken","laptops broken"
"broken","negroponte","broken negroponte"
"negroponte","adapted","negroponte adapted"
"adapted","idea","adapted idea"
"idea","cambodia","idea cambodia"
"cambodia","set","cambodia set"
"set","schools","set schools"
"schools","wife","schools wife"
"wife","children","wife children"
"children","laptops","children laptops"
"laptops","laptops","laptops laptops"
"laptops","broken","laptops broken"
"broken","kids","broken kids"
"kids","cherish","kids cherish"
"cherish","tv","cherish tv"
"tv","telephone","tv telephone"
"telephone","games","telephone games"
"games","machine","games machine"
"machine","textbook","machine textbook"
"textbook","negroponte","textbook negroponte"
"negroponte","laptops","negroponte laptops"
"laptops","common","laptops common"
"common","mobile","common mobile"
"mobile","phones","mobile phones"
"phones","conceded","phones conceded"
"conceded","ambitious","conceded ambitious"
"ambitious","nokia","ambitious nokia"
"nokia","million","nokia million"
"million","cell","million cell"
"cell","phones","cell phones"
"phones","claim","phones claim"
"claim","million","claim million"
"million","laptops","million laptops"
"laptops","talking","laptops talking"
"talking","talking","talking talking"
"talking","plans","talking plans"
"plans","distributing","plans distributing"
"distributing","discussion","distributing discussion"
"discussion","chinese","discussion chinese"
"chinese","education","chinese education"
"education","ministry","education ministry"
"ministry","expected","ministry expected"
"expected","china","expected china"
"china","spend","china spend"
"spend","child","spend child"
"child","textbooks","child textbooks"
"textbooks","distribute","textbooks distribute"
"distribute","sell","distribute sell"
"sell","laptops","sell laptops"
"laptops","quantities","laptops quantities"
"quantities","million","quantities million"
"million","ministries","million ministries"
"ministries","education","ministries education"
"education","cheaper","education cheaper"
"cheaper","marketing","cheaper marketing"
"marketing","overheads","marketing overheads"
"overheads","technology","overheads technology"
"technology","creative","technology creative"
"creative","bug","creative bug"
"bug","hitech","bug hitech"
"hitech","arts","hitech arts"
"arts","worlds","arts worlds"
"worlds","time","worlds time"
"time","danced","time danced"
"danced","offered","danced offered"
"offered","creative","offered creative"
"creative","technical","creative technical"
"technical","required","technical required"
"required","form","required form"
"form","corporate","form corporate"
"corporate","art","corporate art"
"art","sponsorship","art sponsorship"
"sponsorship","infrastructure","sponsorship infrastructure"
"infrastructure","provision","infrastructure provision"
"provision","dance","provision dance"
"dance","growing","dance growing"
"growing","intimate","growing intimate"
"intimate","hitech","intimate hitech"
"hitech","firms","hitech firms"
"firms","creative","firms creative"
"creative","industries","creative industries"
"industries","inspiration","industries inspiration"
"inspiration","vice","inspiration vice"
"vice","versa","vice versa"
"versa","uk","versa uk"
"uk","telco","uk telco"
"telco","bt","telco bt"
"bt","idea","bt idea"
"idea","launched","idea launched"
"launched","connected","launched connected"
"connected","world","connected world"
"world","initiative","world initiative"
"initiative","idea","initiative idea"
"idea","bt","idea bt"
"bt","shape","bt shape"
"shape","st","shape st"
"st","century","st century"
"century","model","century model"
"model","cement","model cement"
"cement","art","cement art"
"art","technology","art technology"
"technology","business","technology business"
"business","worlds","business worlds"
"worlds","hoping","worlds hoping"
"hoping","understand","hoping understand"
"understand","creative","understand creative"
"creative","industry","creative industry"
"industry","natural","industry natural"
"natural","thirst","natural thirst"
"thirst","broadband","thirst broadband"
"broadband","technology","broadband technology"
"technology","frank","technology frank"
"frank","stone","frank stone"
"stone","head","stone head"
"head","bts","head bts"
"bts","business","bts business"
"business","sector","business sector"
"sector","programmes","sector programmes"
"programmes","centres","programmes centres"
"centres","excellence","centres excellence"
"excellence","telco","excellence telco"
"telco","set","telco set"
"set","institutions","set institutions"
"institutions","organisations","institutions organisations"
"organisations","focused","organisations focused"
"focused","creative","focused creative"
"creative","industries","creative industries"
"industries","mark","industries mark"
"mark","initiatives","mark initiatives"
"initiatives","launch","initiatives launch"
"launch","major","launch major"
"major","international","major international"
"international","art","international art"
"art","installation","art installation"
"installation","april","installation april"
"april","brussels","april brussels"
"brussels","exhibit","brussels exhibit"
"exhibit","madrid","exhibit madrid"
"madrid","summer","madrid summer"
"summer","created","summer created"
"created","telcos","created telcos"
"telcos","technology","telcos technology"
"technology","incubating","technology incubating"
"incubating","research","incubating research"
"research","development","research development"
"development","arm","development arm"
"arm","including","arm including"
"including","sophisticated","including sophisticated"
"sophisticated","graphics","sophisticated graphics"
"graphics","rendering","graphics rendering"
"rendering","program","rendering program"
"program","graphics","program graphics"
"graphics","engine","graphics engine"
"engine","type","engine type"
"type","commonly","type commonly"
"commonly","gaming","commonly gaming"
"gaming","baftawinning","gaming baftawinning"
"baftawinning","artists","baftawinning artists"
"artists","langlands","artists langlands"
"langlands","bell","langlands bell"
"bell","created","bell created"
"created","virtual","created virtual"
"virtual","storybased","virtual storybased"
"storybased","model","storybased model"
"model","brussels","model brussels"
"brussels","coudenberg","brussels coudenberg"
"coudenberg","cellars","coudenberg cellars"
"cellars","recently","cellars recently"
"recently","excavated","recently excavated"
"excavated","remnants","excavated remnants"
"remnants","coudenberg","remnants coudenberg"
"coudenberg","palace","coudenberg palace"
"palace","historical","palace historical"
"historical","seat","historical seat"
"seat","european","seat european"
"european","power","european power"
"power","world","power world"
"world","navigated","world navigated"
"navigated","joystick","navigated joystick"
"joystick","offers","joystick offers"
"offers","immersive","offers immersive"
"immersive","experience","immersive experience"
"experience","landscape","experience landscape"
"landscape","historically","landscape historically"
"historically","river","historically river"
"river","running","river running"
"running","bricked","running bricked"
"bricked","century","bricked century"
"century","river","century river"
"river","integral","river integral"
"integral","citys","integral citys"
"citys","survival","citys survival"
"survival","hundreds","survival hundreds"
"hundreds","equally","hundreds equally"
"equally","essential","equally essential"
"essential","city","essential city"
"city","disappeared","city disappeared"
"disappeared","artists","disappeared artists"
"artists","hope","artists hope"
"hope","uncovering","hope uncovering"
"uncovering","river","uncovering river"
"river","understand","river understand"
"understand","connections","understand connections"
"connections","flow","connections flow"
"flow","modernity","flow modernity"
"modernity","concealing","modernity concealing"
"concealing","revealing","concealing revealing"
"revealing","river","revealing river"
"river","senne","river senne"
"senne","previous","senne previous"
"previous","quake","previous quake"
"quake","game","quake game"
"game","graphics","game graphics"
"graphics","engine","graphics engine"
"engine","game","engine game"
"game","engine","game engine"
"engine","core","engine core"
"core","component","core component"
"component","video","component video"
"video","game","video game"
"game","handles","game handles"
"handles","graphics","handles graphics"
"graphics","rendering","graphics rendering"
"rendering","game","rendering game"
"game","ai","game ai"
"ai","objects","ai objects"
"objects","behave","objects behave"
"behave","relate","behave relate"
"relate","game","relate game"
"game","timeconsuming","game timeconsuming"
"timeconsuming","expensive","timeconsuming expensive"
"expensive","create","expensive create"
"create","engines","create engines"
"engines","licensed","engines licensed"
"licensed","handle","licensed handle"
"handle","graphicsintensive","handle graphicsintensive"
"graphicsintensive","games","graphicsintensive games"
"games","bts","games bts"
"bts","engine","bts engine"
"engine","tara","engine tara"
"tara","total","tara total"
"total","abstract","total abstract"
"abstract","rendering","abstract rendering"
"rendering","architecture","rendering architecture"
"architecture","development","architecture development"
"development","recreate","development recreate"
"recreate","virtual","recreate virtual"
"virtual","interactive","virtual interactive"
"interactive","models","interactive models"
"models","buildings","models buildings"
"buildings","planners","buildings planners"
"planners","encounter","planners encounter"
"encounter","urbanbased","encounter urbanbased"
"urbanbased","pervasive","urbanbased pervasive"
"pervasive","game","pervasive game"
"game","combined","game combined"
"combined","virtual","combined virtual"
"virtual","play","virtual play"
"play","conjunction","play conjunction"
"conjunction","physical","conjunction physical"
"physical","onthestreet","physical onthestreet"
"onthestreet","action","onthestreet action"
"action","artists","action artists"
"artists","video","artists video"
"video","interactive","video interactive"
"interactive","elements","interactive elements"
"elements","worlds","elements worlds"
"worlds","features","worlds features"
"features","added","features added"
"added","tara","added tara"
"tara","handle","tara handle"
"handle","complex","handle complex"
"complex","data","complex data"
"data","sets","data sets"
"sets","collaboration","sets collaboration"
"collaboration","art","collaboration art"
"art","digital","art digital"
"digital","technology","digital technology"
"technology","means","technology means"
"means","keen","means keen"
"keen","coders","keen coders"
"coders","designers","coders designers"
"designers","games","designers games"
"games","makers","games makers"
"makers","animators","makers animators"
"animators","argue","animators argue"
"argue","create","argue create"
"create","art","create art"
"art","tools","art tools"
"tools","selfexpression","tools selfexpression"
"selfexpression","person","selfexpression person"
"person","street","person street"
"street","enabling","street enabling"
"enabling","people","enabling people"
"people","photos","people photos"
"photos","phone","photos phone"
"phone","upload","phone upload"
"upload","web","upload web"
"web","instance","web instance"
"instance","creativity","instance creativity"
"creativity","integral","creativity integral"
"integral","technology","integral technology"
"technology","orange","technology orange"
"orange","expressionist","orange expressionist"
"expressionist","exhibition","expressionist exhibition"
"exhibition","displayed","exhibition displayed"
"displayed","thousands","displayed thousands"
"thousands","picture","thousands picture"
"picture","messages","picture messages"
"messages","people","messages people"
"people","uk","people uk"
"uk","create","uk create"
"create","interactive","create interactive"
"interactive","installation","interactive installation"
"installation","technology","installation technology"
"technology","unleashing","technology unleashing"
"unleashing","creativity","unleashing creativity"
"creativity","massive","creativity massive"
"massive","potential","massive potential"
"potential","people","potential people"
"people","technology","people technology"
"technology","businesses","technology businesses"
"businesses","creative","businesses creative"
"creative","vein","creative vein"
"vein","art","vein art"
"art","world","art world"
"world","fantastically","world fantastically"
"fantastically","rich","fantastically rich"
