"X1","X2","bigram","label"
"proposals","closer","proposals closer","politics"
"closer","election","closer election","politics"
"election","liberal","election liberal","politics"
"liberal","democrat","liberal democrat","politics"
"democrat","spokeswoman","democrat spokeswoman","politics"
"spokeswoman","women","spokeswoman women","politics"
"women","sandra","women sandra","politics"
"sandra","gidley","sandra gidley","politics"
"gidley","mothers","gidley mothers","politics"
"mothers","extra","mothers extra","politics"
"extra","maternity","extra maternity","politics"
"maternity","pay","maternity pay","politics"
"pay","liberal","pay liberal","politics"
"liberal","democrats","liberal democrats","politics"
"democrats","feel","democrats feel","politics"
"feel","money","feel money","politics"
"money","misdirected","money misdirected","politics"
"misdirected","party","misdirected party","politics"
"party","boost","party boost","politics"
"boost","maternity","boost maternity","politics"
"maternity","pay","maternity pay","politics"
"pay","women","pay women","politics"
"women","stay","women stay","politics"
"stay","home","stay home","politics"
"home","time","home time","politics"
"time","ms","time ms","politics"
"ms","hewitt","ms hewitt","politics"
"hewitt","stressed","hewitt stressed","politics"
"stressed","plans","stressed plans","politics"
"plans","paid","plans paid","politics"
"paid","taxpayers","paid taxpayers","politics"
"taxpayers","employers","taxpayers employers","politics"
"employers","david","employers david","politics"
"david","frost","david frost","politics"
"frost","director","frost director","politics"
"director","british","director british","politics"
"british","chambers","british chambers","politics"
"chambers","commerce","chambers commerce","politics"
"commerce","warned","commerce warned","politics"
"warned","firms","warned firms","politics"
"firms","crippled","firms crippled","politics"
"crippled","move","crippled move","politics"
"move","majority","move majority","politics"
"majority","salary","majority salary","politics"
"salary","costs","salary costs","politics"
"costs","covered","costs covered","politics"
"covered","governments","covered governments","politics"
"governments","statutory","governments statutory","politics"
"statutory","pay","statutory pay","politics"
"pay","recruitment","pay recruitment","politics"
"recruitment","costs","recruitment costs","politics"
"costs","advertising","costs advertising","politics"
"advertising","costs","advertising costs","politics"
"costs","retraining","costs retraining","politics"
"retraining","costs","retraining costs","politics"
"costs","strain","costs strain","politics"
"strain","company","strain company","politics"
"company","details","company details","politics"
"details","governments","details governments","politics"
"governments","plans","governments plans","politics"
"plans","outlined","plans outlined","politics"
"outlined","monday","outlined monday","politics"
"monday","mothers","monday mothers","politics"
"mothers","entitled","mothers entitled","politics"
"entitled","average","entitled average","politics"
"average","earnings","average earnings","politics"
"earnings","weeks","earnings weeks","politics"
"weeks","giving","weeks giving","politics"
"giving","birth","giving birth","politics"
"birth","baby","birth baby","politics"
"baby","watchdog","baby watchdog","politics"
"watchdog","probes","watchdog probes","politics"
"probes","email","probes email","politics"
"email","deletions","email deletions","politics"
"deletions","information","deletions information","politics"
"information","commissioner","information commissioner","politics"
"commissioner","urgently","commissioner urgently","politics"
"urgently","details","urgently details","politics"
"details","cabinet","details cabinet","politics"
"cabinet","office","cabinet office","politics"
"office","telling","office telling","politics"
"telling","staff","telling staff","politics"
"staff","delete","staff delete","politics"
"delete","emails","delete emails","politics"
"emails","richard","emails richard","politics"
"richard","thomas","richard thomas","politics"
"thomas","totally","thomas totally","politics"
"totally","condemned","totally condemned","politics"
"condemned","deletion","condemned deletion","politics"
"deletion","emails","deletion emails","politics"
"emails","prevent","emails prevent","politics"
"prevent","disclosure","prevent disclosure","politics"
"disclosure","freedom","disclosure freedom","politics"
"freedom","information","freedom information","politics"
"information","laws","information laws","politics"
"laws","coming","laws coming","politics"
"coming","force","coming force","politics"
"force","january","force january","politics"
"january","government","january government","politics"
"government","guidance","government guidance","politics"
"guidance","emails","guidance emails","politics"
"emails","deleted","emails deleted","politics"
"deleted","served","deleted served","politics"
"served","current","served current","politics"
"current","purpose","current purpose","politics"
"purpose","thomas","purpose thomas","politics"
"thomas","tories","thomas tories","politics"
"tories","lib","tories lib","politics"
"lib","dems","lib dems","politics"
"dems","questioned","dems questioned","politics"
"questioned","timing","questioned timing","politics"
"timing","rules","timing rules","politics"
"rules","tory","rules tory","politics"
"tory","leader","tory leader","politics"
"leader","michael","leader michael","politics"
"michael","howard","michael howard","politics"
"howard","written","howard written","politics"
"written","tony","written tony","politics"
"tony","blair","tony blair","politics"
"blair","demanding","blair demanding","politics"
"demanding","explanation","demanding explanation","politics"
"explanation","rules","explanation rules","politics"
"rules","email","rules email","politics"
"email","retention","email retention","politics"
"retention","monday","retention monday","politics"
"monday","lib","monday lib","politics"
"lib","dem","lib dem","politics"
"dem","constitutional","dem constitutional","politics"
"constitutional","affairs","constitutional affairs","politics"
"affairs","committee","affairs committee","politics"
"committee","chairman","committee chairman","politics"
"chairman","alan","chairman alan","politics"
"alan","beith","alan beith","politics"
"beith","warned","beith warned","politics"
"warned","deletion","warned deletion","politics"
"deletion","millions","deletion millions","politics"
"millions","government","millions government","politics"
"government","emails","government emails","politics"
"emails","harm","emails harm","politics"
"harm","ability","harm ability","politics"
"ability","key","ability key","politics"
"key","probes","key probes","politics"
"probes","hutton","probes hutton","politics"
"hutton","inquiry","hutton inquiry","politics"
"inquiry","timing","inquiry timing","politics"
"timing","rules","timing rules","politics"
"rules","freedom","rules freedom","politics"
"freedom","information","freedom information","politics"
"information","act","information act","politics"
"act","forces","act forces","politics"
"forces","coincidence","forces coincidence","politics"
"coincidence","beith","coincidence beith","politics"
"beith","cabinet","beith cabinet","politics"
"cabinet","office","cabinet office","politics"
"office","spokeswoman","office spokeswoman","politics"
"spokeswoman","move","spokeswoman move","politics"
"move","laws","move laws","politics"
"laws","destruction","laws destruction","politics"
"destruction","records","destruction records","politics"
"records","beith","records beith","politics"
"beith","urged","beith urged","politics"
"urged","information","urged information","politics"
"information","commissioner","information commissioner","politics"
"commissioner","email","commissioner email","politics"
"email","regime","email regime","politics"
"regime","support","regime support","politics"
"support","freedom","support freedom","politics"
"freedom","information","freedom information","politics"
"information","regime","information regime","politics"
"regime","thomas","regime thomas","politics"
"thomas","act","thomas act","politics"
"act","parliament","act parliament","politics"
"parliament","makes","parliament makes","politics"
"makes","destroy","makes destroy","politics"
"destroy","records","destroy records","politics"
"records","prevent","records prevent","politics"
"prevent","disclosure","prevent disclosure","politics"
"disclosure","criminal","disclosure criminal","politics"
"criminal","offence","criminal offence","politics"
"offence","guidance","offence guidance","politics"
"guidance","retention","guidance retention","politics"
"retention","emails","retention emails","politics"
"emails","contained","emails contained","politics"
"contained","code","contained code","politics"
"code","practice","code practice","politics"
"practice","lord","practice lord","politics"
"lord","chancellor","lord chancellor","politics"
"chancellor","emails","chancellor emails","politics"
"emails","subject","emails subject","politics"
"subject","freedom","subject freedom","politics"
"freedom","information","freedom information","politics"
"information","laws","information laws","politics"
"laws","content","laws content","politics"
"content","email","content email","politics"
"email","thomas","email thomas","politics"
"thomas","doubt","thomas doubt","politics"
"doubt","retain","doubt retain","politics"
"retain","longstanding","retain longstanding","politics"
"longstanding","principle","longstanding principle","politics"
"principle","civil","principle civil","politics"
"civil","service","civil service","politics"
"service","public","service public","politics"
"public","authorities","public authorities","politics"
"authorities","youve","authorities youve","politics"
"youve","record","youve record","politics"
"record","legitimate","record legitimate","politics"
"legitimate","destroy","legitimate destroy","politics"
"destroy","deliberate","destroy deliberate","politics"
"deliberate","destruction","deliberate destruction","politics"
"destruction","avoid","destruction avoid","politics"
"avoid","possibility","avoid possibility","politics"
"possibility","disclosure","possibility disclosure","politics"
"disclosure","totally","disclosure totally","politics"
"totally","condemned","totally condemned","politics"
"condemned","freedom","condemned freedom","politics"
"freedom","information","freedom information","politics"
"information","act","information act","politics"
"act","cover","act cover","politics"
"cover","england","cover england","politics"
"england","wales","england wales","politics"
"wales","northern","wales northern","politics"
"northern","ireland","northern ireland","politics"
"ireland","similar","ireland similar","politics"
"similar","measures","similar measures","politics"
"measures","brought","measures brought","politics"
"brought","time","brought time","politics"
"time","scotland","time scotland","politics"
"scotland","public","scotland public","politics"
"public","access","public access","politics"
"access","information","access information","politics"
"information","held","information held","politics"
"held","public","held public","politics"
"public","bodies","public bodies","politics"
"bodies","subject","bodies subject","politics"
"subject","exemptions","subject exemptions","politics"
"exemptions","implementation","exemptions implementation","politics"
"implementation","monitored","implementation monitored","politics"
"monitored","information","monitored information","politics"
"information","commissioner","information commissioner","politics"
"commissioner","hewitt","commissioner hewitt","politics"
"hewitt","decries","hewitt decries","politics"
"decries","career","decries career","politics"
"career","sexism","career sexism","politics"
"sexism","plans","sexism plans","politics"
"plans","extend","plans extend","politics"
"extend","paid","extend paid","politics"
"paid","maternity","paid maternity","politics"
"maternity","leave","maternity leave","politics"
"leave","prominent","leave prominent","politics"
"prominent","labours","prominent labours","politics"
"labours","election","labours election","politics"
"election","manifesto","election manifesto","politics"
"manifesto","trade","manifesto trade","politics"
"trade","industry","trade industry","politics"
"industry","secretary","industry secretary","politics"
"secretary","patricia","secretary patricia","politics"
"patricia","hewitt","patricia hewitt","politics"
"hewitt","cost","hewitt cost","politics"
"cost","proposals","cost proposals","politics"
"proposals","evaluated","proposals evaluated","politics"
"evaluated","increasingly","evaluated increasingly","politics"
"increasingly","priority","increasingly priority","politics"
"priority","shared","priority shared","politics"
"shared","goal","shared goal","politics"
"goal","government","goal government","politics"
"government","ms","government ms","politics"
"ms","hewitt","ms hewitt","politics"
"hewitt","speaking","hewitt speaking","politics"
"speaking","gender","speaking gender","politics"
"gender","productivity","gender productivity","politics"
"productivity","seminar","productivity seminar","politics"
"seminar","organised","seminar organised","politics"
"organised","equal","organised equal","politics"
"equal","opportunities","equal opportunities","politics"
"opportunities","commission","opportunities commission","politics"
"commission","eoc","commission eoc","politics"
"eoc","mothers","eoc mothers","politics"
"mothers","paid","mothers paid","politics"
"paid","leave","paid leave","politics"
"leave","unpaid","leave unpaid","politics"
"unpaid","ms","unpaid ms","politics"
"ms","hewitt","ms hewitt","politics"
"hewitt","told","hewitt told","politics"
"told","seminar","told seminar","politics"
"seminar","future","seminar future","politics"
"future","extend","future extend","politics"
"extend","period","extend period","politics"
"period","payment","period payment","politics"
"payment","maternity","payment maternity","politics"
"maternity","leave","maternity leave","politics"
"leave","quickly","leave quickly","politics"
"quickly","cost","quickly cost","politics"
"cost","implications","cost implications","politics"
"implications","taxpayer","implications taxpayer","politics"
"taxpayer","reimburses","taxpayer reimburses","politics"
"reimburses","employers","reimburses employers","politics"
"employers","cost","employers cost","politics"
"cost","ms","cost ms","politics"
"ms","hewitt","ms hewitt","politics"
"hewitt","announced","hewitt announced","politics"
"announced","drive","announced drive","politics"
"drive","women","drive women","politics"
"women","male","women male","politics"
"male","dominated","male dominated","politics"
"dominated","sectors","dominated sectors","politics"
"sectors","sexism","sectors sexism","politics"
"sexism","preventing","sexism preventing","politics"
"preventing","women","preventing women","politics"
"women","reaching","women reaching","politics"
"reaching","potential","reaching potential","politics"
"potential","plans","potential plans","politics"
"plans","include","plans include","politics"
"include","funding","include funding","politics"
"funding","universities","funding universities","politics"
"universities","female","universities female","politics"
"female","science","female science","politics"
"science","engineering","science engineering","politics"
"engineering","graduates","engineering graduates","politics"
"graduates","jobs","graduates jobs","politics"
"jobs","taster","jobs taster","politics"
"taster","courses","taster courses","politics"
"courses","women","courses women","politics"
"women","nontraditional","women nontraditional","politics"
"nontraditional","jobs","nontraditional jobs","politics"
"jobs","women","jobs women","politics"
"women","fulltime","women fulltime","politics"
"fulltime","earn","fulltime earn","politics"
"earn","equal","earn equal","politics"
"equal","opportunities","equal opportunities","politics"
"opportunities","commission","opportunities commission","politics"
"commission","eoc","commission eoc","politics"
"eoc","minister","eoc minister","politics"
"minister","told","minister told","politics"
"told","delegates","told delegates","politics"
"delegates","rid","delegates rid","politics"
"rid","career","rid career","politics"
"career","sexism","career sexism","politics"
"sexism","vital","sexism vital","politics"
"vital","closing","vital closing","politics"
"closing","gender","closing gender","politics"
"gender","pay","gender pay","politics"
"pay","gap","pay gap","politics"
"gap","career","gap career","politics"
"career","sexism","career sexism","politics"
"sexism","limits","sexism limits","politics"
"limits","opportunities","limits opportunities","politics"
"opportunities","women","opportunities women","politics"
"women","ages","women ages","politics"
"ages","prevents","ages prevents","politics"
"prevents","achieving","prevents achieving","politics"
"achieving","potential","achieving potential","politics"
"potential","simply","potential simply","politics"
"simply","wrong","simply wrong","politics"
"wrong","assume","wrong assume","politics"
"assume","job","assume job","politics"
"job","grounds","job grounds","politics"
"grounds","sex","grounds sex","politics"
"sex","earlier","sex earlier","politics"
"earlier","told","earlier told","politics"
"told","bbc","told bbc","politics"
"bbc","radio","bbc radio","politics"
"radio","programme","radio programme","politics"
"programme","talking","programme talking","politics"
"talking","women","talking women","politics"
"women","jobs","women jobs","politics"
"jobs","lowpaid","jobs lowpaid","politics"
"lowpaid","typically","lowpaid typically","politics"
"typically","dominated","typically dominated","politics"
"dominated","women","dominated women","politics"
"women","segregated","women segregated","politics"
"segregated","employment","segregated employment","politics"
"employment","reflects","employment reflects","politics"
"reflects","oldfashioned","reflects oldfashioned","politics"
"oldfashioned","stereotypical","oldfashioned stereotypical","politics"
"stereotypical","ideas","stereotypical ideas","politics"
"ideas","jobs","ideas jobs","politics"
"jobs","women","jobs women","politics"
"women","career","women career","politics"
"career","sexism","career sexism","politics"
"sexism","engineering","sexism engineering","politics"
"engineering","instance","engineering instance","politics"
"instance","employees","instance employees","politics"
"employees","women","employees women","politics"
"women","maledominated","women maledominated","politics"
"maledominated","industry","maledominated industry","politics"
"industry","construction","industry construction","politics"
"construction","worse","construction worse","politics"
"worse","childcare","worse childcare","politics"
"childcare","jobs","childcare jobs","politics"
"jobs","women","jobs women","politics"
"women","suitable","women suitable","politics"
"suitable","career","suitable career","politics"
"career","sexism","career sexism","politics"
"sexism","added","sexism added","politics"
"added","progress","added progress","politics"
"progress","gap","progress gap","politics"
"gap","pay","gap pay","politics"
"pay","figures","pay figures","politics"
"figures","average","figures average","politics"
"average","woman","average woman","politics"
"woman","fulltime","woman fulltime","politics"
"fulltime","paid","fulltime paid","politics"
"paid","pound","paid pound","politics"
"pound","earning","pound earning","politics"
"earning","women","earning women","politics"
"women","parttime","women parttime","politics"
"parttime","department","parttime department","politics"
"department","trade","department trade","politics"
"trade","industry","trade industry","politics"
"industry","provide","industry provide","politics"
"provide","funding","provide funding","politics"
"funding","pay","funding pay","politics"
"pay","experts","pay experts","politics"
"experts","panel","experts panel","politics"
"panel","run","panel run","politics"
"run","tuc","run tuc","politics"
"tuc","set","tuc set","politics"
"set","advise","set advise","politics"
"advise","hundreds","advise hundreds","politics"
"hundreds","companies","hundreds companies","politics"
"companies","equal","companies equal","politics"
"equal","wage","equal wage","politics"
"wage","policies","wage policies","politics"
"policies","research","policies research","politics"
"research","conducted","research conducted","politics"
"conducted","eoc","conducted eoc","politics"
"eoc","revealed","eoc revealed","politics"
"revealed","britons","revealed britons","politics"
"britons","pay","britons pay","politics"
"pay","gap","pay gap","politics"
"gap","women","gap women","politics"
"women","result","women result","politics"
"result","natural","result natural","politics"
"natural","differences","natural differences","politics"
"differences","sexes","differences sexes","politics"
"sexes","women","sexes women","politics"
"women","hold","women hold","politics"
"hold","top","hold top","politics"
"top","positions","top positions","politics"
"positions","ftse","positions ftse","politics"
"ftse","companies","ftse companies","politics"
"companies","police","companies police","politics"
"police","judiciary","police judiciary","politics"
"judiciary","trade","judiciary trade","politics"
"trade","unions","trade unions","politics"
"unions","figures","unions figures","politics"
"figures","retired","figures retired","politics"
"retired","women","retired women","politics"
"women","half","women half","politics"
"half","income","half income","politics"
"income","male","income male","politics"
"male","counterparts","male counterparts","politics"
"counterparts","average","counterparts average","politics"
"average","labour","average labour","politics"
"labour","chooses","labour chooses","politics"
"chooses","manchester","chooses manchester","politics"
"manchester","labour","manchester labour","politics"
"labour","party","labour party","politics"
"party","hold","party hold","politics"
"hold","autumn","hold autumn","politics"
"autumn","conference","autumn conference","politics"
"conference","manchester","conference manchester","politics"
"manchester","blackpool","manchester blackpool","politics"
"blackpool","confirmed","blackpool confirmed","politics"
"confirmed","trailed","confirmed trailed","politics"
"trailed","decision","trailed decision","politics"
"decision","ratified","decision ratified","politics"
"ratified","labours","ratified labours","politics"
"labours","ruling","labours ruling","politics"
"ruling","national","ruling national","politics"
"national","executive","national executive","politics"
"executive","committee","executive committee","politics"
"committee","break","committee break","politics"
"break","traditional","break traditional","politics"
"traditional","choice","traditional choice","politics"
"choice","seaside","choice seaside","politics"
"seaside","venue","seaside venue","politics"
"venue","time","venue time","politics"
"time","party","time party","politics"
"party","chosen","party chosen","politics"
"chosen","manchester","chosen manchester","politics"
"manchester","host","manchester host","politics"
"host","annual","host annual","politics"
"annual","event","annual event","politics"
"event","blackpool","event blackpool","politics"
"blackpool","february","blackpool february","politics"
"february","spring","february spring","politics"
"spring","conference","spring conference","politics"
"conference","placatory","conference placatory","politics"
"placatory","move","placatory move","politics"
"move","main","move main","politics"
"main","political","main political","politics"
"political","parties","political parties","politics"
"parties","rotated","parties rotated","politics"
"rotated","blackpool","rotated blackpool","politics"
"blackpool","bournemouth","blackpool bournemouth","politics"
"bournemouth","brighton","bournemouth brighton","politics"
"brighton","news","brighton news","politics"
"news","larger","news larger","politics"
"larger","annual","larger annual","politics"
"annual","conference","annual conference","politics"
"conference","gather","conference gather","politics"
"gather","blackpool","gather blackpool","politics"
"blackpool","blow","blackpool blow","politics"
"blow","coastal","blow coastal","politics"
"coastal","resort","coastal resort","politics"
"resort","party","resort party","politics"
"party","return","party return","politics"
"return","blackpool","return blackpool","politics"
"blackpool","bournemouth","blackpool bournemouth","politics"
"bournemouth","hosted","bournemouth hosted","politics"
"hosted","event","hosted event","politics"
"event","party","event party","politics"
"party","signed","party signed","politics"
"signed","deal","signed deal","politics"
"deal","brighton","deal brighton","politics"
"brighton","host","brighton host","politics"
"host","autumn","host autumn","politics"
"autumn","conference","autumn conference","politics"
"conference","colin","conference colin","politics"
"colin","asplin","colin asplin","politics"
"asplin","blackpool","asplin blackpool","politics"
"blackpool","hotel","blackpool hotel","politics"
"hotel","association","hotel association","politics"
"association","hard","association hard","politics"
"hard","blackpool","hard blackpool","politics"
"blackpool","failed","blackpool failed","politics"
"failed","hope","failed hope","politics"
"hope","manchester","hope manchester","politics"
"manchester","handle","manchester handle","politics"
"handle","crowds","handle crowds","politics"
"crowds","amazes","crowds amazes","politics"
"amazes","labour","amazes labour","politics"
"labour","party","labour party","politics"
"party","class","party class","politics"
"class","party","class party","politics"
"party","doesnt","party doesnt","politics"
"doesnt","main","doesnt main","politics"
"main","class","main class","politics"
"class","resort","class resort","politics"
"resort","country","resort country","politics"
"country","exact","country exact","politics"
"exact","cost","exact cost","politics"
"cost","blackpool","cost blackpool","politics"
"blackpool","terms","blackpool terms","politics"
"terms","lost","terms lost","politics"
"lost","revenue","lost revenue","politics"
"revenue","hotel","revenue hotel","politics"
"hotel","accommodation","hotel accommodation","politics"
"accommodation","block","accommodation block","politics"
"block","bookings","block bookings","politics"
"bookings","major","bookings major","politics"
"major","manchester","major manchester","politics"
"manchester","hotels","manchester hotels","politics"
"hotels","official","hotels official","politics"
"official","announcement","official announcement","politics"
"announcement","brown","announcement brown","politics"
"brown","ally","brown ally","politics"
"ally","rejects","ally rejects","politics"
"rejects","budget","rejects budget","politics"
"budget","spree","budget spree","politics"
"spree","chancellor","spree chancellor","politics"
"chancellor","gordon","chancellor gordon","politics"
"gordon","browns","gordon browns","politics"
"browns","closest","browns closest","politics"
"closest","ally","closest ally","politics"
"ally","denied","ally denied","politics"
"denied","suggestions","denied suggestions","politics"
"suggestions","budget","suggestions budget","politics"
"budget","giveaway","budget giveaway","politics"
"giveaway","march","giveaway march","politics"
"march","ed","march ed","politics"
"ed","balls","ed balls","politics"
"balls","exchief","balls exchief","politics"
"exchief","economic","exchief economic","politics"
"economic","adviser","economic adviser","politics"
"adviser","treasury","adviser treasury","politics"
"treasury","spending","treasury spending","politics"
"spending","spree","spending spree","politics"
"spree","polling","spree polling","politics"
"polling","day","polling day","politics"
"day","balls","day balls","politics"
"balls","prospective","balls prospective","politics"
"prospective","labour","prospective labour","politics"
"labour","mp","labour mp","politics"
"mp","confident","mp confident","politics"
"confident","chancellor","confident chancellor","politics"
"chancellor","meet","chancellor meet","politics"
"meet","fiscal","meet fiscal","politics"
"fiscal","rules","fiscal rules","politics"
"rules","speaking","rules speaking","politics"
"speaking","sir","speaking sir","politics"
"sir","digby","sir digby","politics"
"digby","jones","digby jones","politics"
"jones","cbi","jones cbi","politics"
"cbi","director","cbi director","politics"
"director","warned","director warned","politics"
"warned","brown","warned brown","politics"
"brown","tempted","brown tempted","politics"
"tempted","extra","tempted extra","politics"
"extra","cash","extra cash","politics"
"cash","preelection","cash preelection","politics"
"preelection","bribes","preelection bribes","politics"
"bribes","balls","bribes balls","politics"
"balls","stepped","balls stepped","politics"
"stepped","treasury","stepped treasury","politics"
"treasury","post","treasury post","politics"
"post","stand","post stand","politics"
"stand","labour","stand labour","politics"
"labour","candidate","labour candidate","politics"
"candidate","election","candidate election","politics"
"election","suggested","election suggested","politics"
"suggested","brown","suggested brown","politics"
"brown","meet","brown meet","politics"
"meet","golden","meet golden","politics"
"golden","economic","golden economic","politics"
"economic","rule","economic rule","politics"
"rule","margin","rule margin","politics"
"margin","spare","margin spare","politics"
"spare","hoped","spare hoped","politics"
"hoped","build","hoped build","politics"
"build","current","build current","politics"
"current","tax","current tax","politics"
"tax","credit","tax credit","politics"
"credit","rules","credit rules","politics"
"rules","stressed","rules stressed","politics"
"stressed","rise","stressed rise","politics"
"rise","rates","rise rates","politics"
"rates","ahead","rates ahead","politics"
"ahead","expected","ahead expected","politics"
"expected","election","expected election","politics"
"election","affect","election affect","politics"
"affect","labour","affect labour","politics"
"labour","partys","labour partys","politics"
"partys","chances","partys chances","politics"
"chances","winning","chances winning","politics"
"winning","expectations","winning expectations","politics"
"expectations","rate","expectations rate","politics"
"rate","rise","rate rise","politics"
"rise","gathered","rise gathered","politics"
"gathered","pace","gathered pace","politics"
"pace","figures","pace figures","politics"
"figures","house","figures house","politics"
"house","prices","house prices","politics"
"prices","rising","prices rising","politics"
"rising","consumer","rising consumer","politics"
"consumer","borrowing","consumer borrowing","politics"
"borrowing","rose","borrowing rose","politics"
"rose","nearrecord","rose nearrecord","politics"
"nearrecord","pace","nearrecord pace","politics"
"pace","january","pace january","politics"
"january","mpc","january mpc","politics"
"mpc","bank","mpc bank","politics"
"bank","englands","bank englands","politics"
"englands","monetary","englands monetary","politics"
"monetary","policy","monetary policy","politics"
"policy","committee","policy committee","politics"
"committee","judge","committee judge","politics"
"judge","rate","judge rate","politics"
"rate","rise","rate rise","politics"
"rise","justified","rise justified","politics"
"justified","election","justified election","politics"
"election","strength","election strength","politics"
"strength","economy","strength economy","politics"
"economy","im","economy im","politics"
"im","predicting","im predicting","politics"
"predicting","election","predicting election","politics"
"election","issue","election issue","politics"
"issue","britain","issue britain","politics"
"britain","labour","britain labour","politics"
"labour","told","labour told","politics"
"told","parliamentary","told parliamentary","politics"
"parliamentary","lunch","parliamentary lunch","politics"
"lunch","change","lunch change","politics"
"change","political","change political","politics"
"political","culture","political culture","politics"
"culture","interview","culture interview","politics"
"interview","bbc","interview bbc","politics"
"bbc","radio","bbc radio","politics"
"radio","programme","radio programme","politics"
"programme","balls","programme balls","politics"
"balls","browns","balls browns","politics"
"browns","budget","browns budget","politics"
"budget","risk","budget risk","politics"
"risk","stability","risk stability","politics"
"stability","economy","stability economy","politics"
"economy","dont","economy dont","politics"
"dont","preelection","dont preelection","politics"
"preelection","spending","preelection spending","politics"
"spending","spree","spending spree","politics"
"spree","assurances","spree assurances","politics"
"assurances","sir","assurances sir","politics"
"sir","digby","sir digby","politics"
"digby","jones","digby jones","politics"
"jones","stability","jones stability","politics"
"stability","extra","stability extra","politics"
"extra","cash","extra cash","politics"
"cash","spent","cash spent","politics"
"spent","improving","spent improving","politics"
"improving","workers","improving workers","politics"
"workers","skills","workers skills","politics"
"skills","message","skills message","politics"
"message","chancellor","message chancellor","politics"
"chancellor","dont","chancellor dont","politics"
"dont","form","dont form","politics"
"form","electioneering","form electioneering","politics"
"electioneering","sir","electioneering sir","politics"
"sir","digby","sir digby","politics"
"digby","added","digby added","politics"
"added","dont","added dont","politics"
"dont","prudent","dont prudent","politics"
"prudent","chancellor","prudent chancellor","politics"
